time,open,high,low,close,CCI,daily_bias,daily_cci,daily_prev_cci
1334005200,1379.6,1385,1356.8,1363.4,-56.315682876879706,0,-56.315682876879706,-7.0069294489781075
1334091600,1363.4,1374.6,1362.8,1369.6,-51.89798402218913,0,-51.89798402218913,-56.315682876879706
1334178000,1369.6,1390.2,1367.4,1389,-1.1324826045263903,0,-1.1324826045263903,-51.89798402218913
1334264400,1389,1392.6,1368.8,1370.4,-33.05405206377291,0,-33.05405206377291,-1.1324826045263903
1334523600,1370.4,1379.2,1364.4,1368.4,-54.557345372795396,0,-54.557345372795396,-33.05405206377291
1334610000,1368.4,1392.4,1363.2,1387.2,-10.376674909424755,0,-10.376674909424755,-54.557345372795396
1334696400,1387.2,1390.4,1381.8,1383.6,-3.654909973587791,0,-3.654909973587791,-10.376674909424755
1334782800,1383.6,1393.6,1369.4,1377.8,-26.508153930693705,0,-26.508153930693705,-3.654909973587791
1334869200,1377.8,1386.8,1375,1378.8,-27.735220958579006,0,-27.735220958579006,-26.508153930693705
1335128400,1378.8,1378.8,1357.4,1367.8,-76.67589629994096,0,-76.67589629994096,-27.735220958579006
1335214800,1367.8,1380.7,1364.4,1379.7,-44.604334551277915,0,-44.604334551277915,-76.67589629994096
1335301200,1379.7,1391.2,1376.6,1391.2,2.1269252891942814,0,2.1269252891942814,-44.604334551277915
1335387600,1391.2,1402.2,1384.6,1398.4,35.89021587856529,0,35.89021587856529,2.1269252891942814
1335474000,1398.4,1406,1389.8,1402.1,50.85420584621227,0,50.85420584621227,35.89021587856529
1335733200,1402.1,1405.4,1392.8,1398.2,41.47637744578221,0,41.47637744578221,50.85420584621227
1335819600,1398.2,1414.6,1394.4,1404,65.33545134538663,0,65.33545134538663,41.47637744578221
1335906000,1404,1407.4,1392.2,1400.8,42.73182924629323,0,42.73182924629323,65.33545134538663
1335992400,1400.8,1405.4,1387.4,1389.6,1.119025356141226,0,1.119025356141226,42.73182924629323
1336078800,1389.6,1391.6,1366,1366.2,-113.7747500165529,0,-113.7747500165529,1.119025356141226
1336338000,1366.2,1372.6,1344.8,1368.8,-148.02912868774027,0,-148.02912868774027,-113.7747500165529
1336424400,1368.8,1370.2,1346.2,1362.2,-151.59595862284687,0,-151.59595862284687,-148.02912868774027
1336510800,1362.2,1363,1341.4,1350.4,-177.22296352991646,0,-177.22296352991646,-151.59595862284687
1336597200,1350.4,1366,1348.2,1353.6,-147.2423443115185,0,-147.2423443115185,-177.22296352991646
1336683600,1353.6,1365.2,1346.4,1352.4,-143.21304419797875,0,-143.21304419797875,-147.2423443115185
1336942800,1352.4,1353,1334.4,1335.6,-189.3671825721162,0,-189.3671825721162,-143.21304419797875
1337029200,1335.6,1348.8,1327.6,1331.4,-193.17921272794482,0,-193.17921272794482,-189.3671825721162
1337115600,1331.4,1341.6,1323,1325.2,-196.93404070860964,0,-196.93404070860964,-193.17921272794482
1337202000,1325.2,1332.4,1301.6,1304.6,-234.78738837324855,0,-234.78738837324855,-196.93404070860964
1337288400,1304.6,1312,1291.6,1293.6,-249.00542579482288,0,-249.00542579482288,-234.78738837324855
1337547600,1293.6,1317.2,1289,1315.8,-193.34475255094455,0,-193.34475255094455,-249.00542579482288
1337634000,1315.8,1328.2,1309,1315.8,-156.67346006832776,0,-156.67346006832776,-193.34475255094455
1337720400,1315.8,1320.2,1295.6,1315.8,-157.97214435171685,0,-157.97214435171685,-156.67346006832776
1337806800,1315.8,1325.8,1307.4,1325.4,-123.52987430656246,0,-123.52987430656246,-157.97214435171685
1337893200,1325.4,1331,1313.4,1315.9,-119.43348154068944,0,-119.43348154068944,-123.52987430656246
1338152400,1315.9,1329.6,1315.9,1324.6,-100.31338003657767,0,-100.31338003657767,-119.43348154068944
1338238800,1324.6,1335.2,1318.8,1334,-77.64617470716058,1,-77.64617470716058,-100.31338003657767
1338325200,1334,1334,1308.8,1308.8,-109.0510685468277,0,-109.0510685468277,-77.64617470716058
1338411600,1308.8,1319.8,1298.3,1307.5,-117.23531317994562,0,-117.23531317994562,-109.0510685468277
1338498000,1307.5,1308.3,1275.2,1275.9,-161.35343966692625,0,-161.35343966692625,-117.23531317994562
1338757200,1275.9,1282,1262.8,1274.8,-167.53468038060316,0,-167.53468038060316,-161.35343966692625
1338843600,1274.8,1287.2,1268.4,1285.2,-138.68307281009953,0,-138.68307281009953,-167.53468038060316
1338930000,1285.2,1316.6,1283.8,1315.6,-80.29986705352856,1,-80.29986705352856,-138.68307281009953
1339016400,1315.6,1329.6,1312.4,1317.4,-54.60866987773285,0,-54.60866987773285,-80.29986705352856
1339102800,1317.4,1328,1306,1327.8,-45.77489226279315,0,-45.77489226279315,-54.60866987773285
1339362000,1327.8,1349.2,1306.5,1307,-52.9954419252897,0,-52.9954419252897,-45.77489226279315
1339448400,1307,1326.6,1304.1,1325.4,-44.57865515491998,0,-44.57865515491998,-52.9954419252897
1339534800,1325.4,1328,1310.4,1313.2,-50.80088914870428,0,-50.80088914870428,-44.57865515491998
1339621200,1313.2,1334.5,1312.2,1334.2,-22.20487574422003,0,-22.20487574422003,-50.80088914870428
1339707600,1334.2,1343.6,1331.4,1343.6,5.103091475129147,0,5.103091475129147,-22.20487574422003
1339966800,1343.6,1354.4,1334.1,1348.3,20.24252425526998,0,20.24252425526998,5.103091475129147
1340053200,1348.3,1363.6,1343.2,1356.4,43.57092608500336,0,43.57092608500336,20.24252425526998
1340139600,1356.4,1361.9,1345.4,1358.2,50.6655088315706,0,50.6655088315706,43.57092608500336
1340226000,1358.2,1359.6,1324,1325,-1.440276737180473,0,-1.440276737180473,50.6655088315706
1340312400,1325,1338,1324.6,1333.2,0.0524869287339229,0,0.0524869287339229,-1.440276737180473
1340571600,1333.2,1333.2,1308.6,1312.8,-41.77849403030126,0,-41.77849403030126,0.0524869287339229
